"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.408582742E1,-1.828740692E1,3.457193375E1,-3.452225494E1
5.410574542E1,-1.849876404E1,3.452088165E1,-3.485470581E1
5.412566242E1,-1.876200294E1,3.430811310E1,-3.456799316E1
5.414557942E1,-1.924591064E1,3.397077179E1,-3.465589905E1
5.416549642E1,-1.927044106E1,3.398284149E1,-3.508715057E1
5.418541342E1,-1.940870285E1,3.374416733E1,-3.494358063E1
5.420533042E1,-1.910794067E1,3.354464722E1,-3.535360718E1
5.422524742E1,-1.952011490E1,3.344977951E1,-3.519853973E1
5.424516442E1,-1.939493179E1,3.313571167E1,-3.533870697E1
5.426508142E1,-2.020575714E1,3.295729828E1,-3.523590088E1
5.428499842E1,-2.060767746E1,3.284659576E1,-3.515738678E1
5.430491542E1,-2.113598824E1,3.276385498E1,-3.504169464E1
5.432483242E1,-2.128914261E1,3.191662407E1,-3.527442169E1
5.434474942E1,-2.169071198E1,3.164832687E1,-3.561187744E1
5.436466642E1,-2.204062843E1,3.123184586E1,-3.581500244E1
5.438458342E1,-2.268100929E1,3.087570763E1,-3.560756683E1
5.440450142E1,-2.267320633E1,3.043224907E1,-3.626482391E1
5.442441842E1,-2.336132812E1,2.988344193E1,-3.647036743E1
5.444433542E1,-2.295334053E1,3.001068115E1,-3.638021088E1
5.446425242E1,-2.328117371E1,3.040921593E1,-3.625057983E1
5.448416942E1,-2.324777222E1,3.039151382E1,-3.549261475E1
5.450408642E1,-2.315889359E1,2.994970703E1,-3.569317627E1
5.452400342E1,-2.297790527E1,3.059259415E1,-3.565473938E1
5.454392042E1,-2.233210373E1,3.054959679E1,-3.574178314E1
5.456383742E1,-2.196629524E1,3.069825172E1,-3.605216217E1
5.458375442E1,-2.131216431E1,3.087501907E1,-3.594106293E1
5.460367142E1,-2.103442383E1,3.105607605E1,-3.537330627E1
5.462358842E1,-2.074270630E1,3.118354416E1,-3.593013000E1
5.464350542E1,-2.033926010E1,3.178058624E1,-3.590643311E1
5.466342342E1,-1.996956062E1,3.208068085E1,-3.593395233E1
5.468334042E1,-1.926802444E1,3.214154816E1,-3.578936005E1
5.470325742E1,-1.942060661E1,3.234942245E1,-3.573454285E1
5.472317442E1,-1.872945023E1,3.267045212E1,-3.637300873E1
5.474309142E1,-1.867288399E1,3.270058060E1,-3.604952240E1
